iter	RMSE
0	146969.1352
1	144219.0587
2	141572.0379
3	139031.1642
4	136594.5728
5	134239.3714
6	131970.6815
7	129794.5201
8	127705.7522
9	125710.0603
10	123794.2338
11	121970.0573
12	120207.0252
13	118520.6797
14	116905.0804
15	115359.8822
16	113882.3704
17	112470.9952
18	111125.2041
19	109821.4507
20	108582.1054
21	107410.6847
22	106261.9067
23	105183.2965
24	104142.6311
25	103157.1681
26	102207.2968
27	101306.5219
28	100441.3657
29	99616.69162
30	98816.39974
31	98061.67123
32	97344.60928
33	96656.0344
34	96008.70342
35	95369.62408
36	94768.68485
37	94190.9536
38	93631.04632
39	93105.06529
40	92604.69381
41	92083.7377
42	91605.33172
43	91162.93162
44	90749.81519
45	90301.77604
46	89897.53182
47	89513.12136
48	89142.67199
49	88779.01415
50	88428.65596
51	88088.69919
52	87766.8349
53	87441.56129
54	87136.96837
55	86825.382
56	86542.58226
57	86205.10927
58	85937.92924
59	85704.42206
60	85465.87249
61	85238.17312
62	84951.1059
63	84607.38309
64	84282.5032
65	84066.20617
66	83853.89176
67	83629.18883
68	83435.49483
69	83238.52321
70	83058.57302
71	82868.03517
72	82637.37686
73	82460.81884
74	82295.88339
75	82134.37453
76	81961.3166
77	81792.21942
78	81635.54986
79	81486.30317
80	81338.35978
81	81200.10417
82	81063.46836
83	80930.63109
84	80793.28043
85	80668.91906
86	80549.69708
87	80437.83578
88	80311.36113
89	80191.85456
90	80057.78377
91	79890.23376
92	79773.47785
93	79658.91148
94	79548.4449
95	79439.76557
96	79268.4898
97	79162.53383
98	79072.29086
99	78978.74477
100	78882.08765
101	78766.1507
102	78660.90182
103	78564.41936
104	78456.97952
105	78350.98632
106	78236.30282
107	78151.60555
108	78059.09497
109	77977.80435
110	77898.50037
111	77795.06814
112	77731.24671
113	77640.18637
114	77544.74574
115	77455.39876
116	77379.12088
117	77296.70126
118	77219.44592
119	77145.61731
120	77076.6976
121	76986.82842
122	76924.53988
123	76861.32018
124	76763.80954
125	76689.93377
126	76615.04677
127	76540.299
128	76284.08664
129	76213.36362
130	76109.77684
131	76035.60861
132	75973.68665
133	75907.25202
134	75839.84295
135	75731.44534
136	75671.48595
137	75606.04649
138	75536.8188
139	75466.95554
140	75401.42193
141	75334.77119
142	75271.72444
143	75214.95957
144	75093.41465
145	75049.18001
146	74993.39124
147	74943.84859
148	74892.2732
149	74832.24513
150	74798.52667
151	74752.60953
152	74684.40474
153	74619.84146
154	74579.7665
155	74541.07111
156	74479.72818
157	74433.38819
158	74379.78508
159	74336.53492
160	74304.78002
161	74082.40702
162	74029.48908
163	73985.27097
164	73946.81635
165	73737.17658
166	73685.20811
167	73632.50137
168	73576.83459
169	73515.46226
170	73464.93513
171	73403.14662
172	73366.27209
173	73335.74259
174	73291.19208
175	73256.05468
176	73211.6489
177	73174.8418
178	73130.7663
179	73087.07769
180	73046.25442
181	73013.27736
182	72984.23195
183	72947.54808
184	72872.94321
185	72836.81008
186	72811.98547
187	72770.32033
188	72731.09383
189	72691.45917
190	72651.74963
191	72524.79859
192	72494.39457
193	72473.87673
194	72438.93921
195	72393.28226
196	72357.30804
197	72326.77078
198	72291.74661
199	72265.84097
200	72226.45439
201	72198.33846
202	72161.41413
203	72143.69379
204	72102.87985
205	72079.70552
206	71944.5474
207	71914.23693
208	71885.02237
209	71862.63164
210	71799.08029
211	71784.64982
212	71761.60699
213	71720.51677
214	71660.77088
215	71645.93733
216	71623.20346
217	71605.36614
218	71570.84094
219	71546.00046
220	71510.12247
221	71499.29929
222	71486.42342
223	71453.84165
224	71399.08114
225	71373.65075
226	71343.27421
227	71321.88618
228	71295.24208
229	71278.73017
230	71259.11052
231	71217.85769
232	71199.99609
233	71171.47412
234	71147.05494
235	71127.47313
236	71102.55242
237	71081.48485
238	71045.22878
239	71022.03281
240	70962.19347
241	70931.99168
242	70905.0282
243	70875.69311
244	70858.78756
245	70839.16261
246	70665.8473
247	70614.24217
248	70576.24931
249	70545.36907
250	70531.30452
251	70502.48917
252	70478.28147
253	70441.74938
254	70425.28118
255	70406.5521
256	70382.88994
257	70361.45926
258	70327.89865
259	70311.57985
260	70285.09254
261	70259.36532
262	70208.74525
263	70185.11721
264	70153.66213
265	70127.53884
266	70109.24299
267	70100.4919
268	69942.35277
269	69918.83107
270	69904.31194
271	69891.5331
272	69869.22288
273	69858.62925
274	69838.78611
275	69820.87676
276	69802.75347
277	69787.05017
278	69768.36144
279	69748.05212
280	69723.43484
281	69701.3121
282	69688.60443
283	69670.45564
284	69650.78919
285	69629.50813
286	69611.37536
287	69590.62895
288	69577.49329
289	69568.5347
290	69551.48947
291	69521.76747
292	69504.52603
293	69489.14224
294	69479.14864
295	69461.34279
296	69445.83218
297	69432.34638
298	69412.53713
299	69398.41122
300	69381.67506
301	69366.33557
302	69357.91564
303	69312.16198
304	69296.56795
305	69283.1289
306	69263.5314
307	69250.05087
308	69232.33051
309	69216.46578
310	69195.42527
311	69185.22862
312	69166.34444
313	69150.3006
314	69137.46312
315	69122.12599
316	69108.29035
317	69101.7744
318	69090.81396
319	69079.62678
320	69066.62492
321	69050.28131
322	69028.74435
323	69015.46134
324	69003.18026
325	68977.53356
326	68967.98058
327	68956.31912
328	68940.92313
329	68906.88895
330	68892.22449
331	68879.64706
332	68868.43945
333	68850.37277
334	68835.34811
335	68813.9078
336	68801.5756
337	68789.35949
338	68782.04636
339	68764.85094
340	68751.57579
341	68740.55226
342	68725.96892
343	68712.54574
344	68703.59857
345	68690.05669
346	68683.29829
347	68670.80536
348	68654.94838
349	68645.57553
350	68627.45719
351	68615.27261
352	68589.82143
353	68578.32694
354	68574.40019
355	68550.64937
356	68537.40684
357	68526.36117
358	68516.30884
359	68501.5721
360	68496.37795
361	68492.50478
362	68480.14578
363	68466.1309
364	68450.91458
365	68440.10684
366	68426.68004
367	68413.66592
368	68406.67377
369	68373.80494
370	68366.20857
371	68353.37504
372	68340.26271
373	68324.21388
374	68316.56518
375	68303.82185
376	68292.77064
377	68287.35545
378	68245.62953
379	68229.08245
380	68207.93349
381	68196.71022
382	68187.72412
383	68175.84548
384	68143.88154
385	68132.11943
386	68115.5984
387	68103.75843
388	68096.55713
389	68087.7222
390	68076.5065
391	68065.33353
392	68047.56754
393	68038.98265
394	68034.10914
395	68021.04592
396	68010.68006
397	67995.16858
398	67981.28601
399	67960.05811
400	67951.10586
401	67936.62669
402	67928.15457
403	67910.36101
404	67901.05195
405	67888.80243
406	67818.39622
407	67811.0047
408	67804.43566
409	67793.14505
410	67782.63298
411	67769.38038
412	67761.8904
413	67753.85827
414	67746.2983
415	67737.25614
416	67728.71113
417	67724.44049
418	67699.95116
419	67686.15889
420	67675.46875
421	67660.92035
422	67635.25765
423	67623.72717
424	67616.09374
425	67605.43403
426	67594.64464
427	67580.69002
428	67574.37776
429	67556.91802
430	67548.41698
431	67538.10399
432	67529.29037
433	67519.85359
434	67506.63018
435	67500.32263
436	67494.61924
437	67488.45586
438	67477.98088
439	67471.10318
440	67463.3526
441	67451.16639
442	67445.65381
443	67439.14175
444	67428.33322
445	67422.23864
446	67415.14152
447	67404.41438
448	67398.90771
449	67391.80154
450	67377.0371
451	67366.68479
452	67358.1585
453	67331.56367
454	67323.79718
455	67303.98392
456	67294.22482
457	67286.42929
458	67280.76501
459	67272.93152
460	67260.89985
461	67257.76349
462	67252.50451
463	67244.8254
464	67232.41041
465	67222.74115
466	67211.54067
467	67208.97283
468	67200.05338
469	67194.89207
470	67172.69153
471	67161.82835
472	67145.18388
473	67133.10516
474	67124.60672
475	67116.50809
476	67103.60871
477	67092.04829
478	67082.30767
479	67071.57733
480	67063.77399
481	67055.31186
482	67045.81555
